Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
500.0,13.0,135.0,25.0,64.0
500.0,9.0,163.0,17.0,29.0
500.0,13.0,157.0,23.0,27.0
500.0,13.0,156.0,29.0,40.0
230.0,18.0,132.0,18.0,20.0
500.0,22.0,133.0,26.0,47.0
500.0,14.0,116.0,28.0,29.0
500.0,11.0,128.0,88.0,34.0
500.0,14.0,129.0,26.0,20.0
412.0,50.0,107.0,47.0,51.0
500.0,48.0,82.0,51.0,26.0
500.0,19.0,83.0,30.0,19.0
500.0,27.0,89.0,20.0,55.0
500.0,12.0,116.0,42.0,33.0
500.0,22.0,108.0,12.0,36.0
500.0,30.0,130.0,30.0,39.0
500.0,18.0,98.0,55.0,74.0
500.0,23.0,124.0,14.0,40.0
500.0,30.0,138.0,26.0,34.0
500.0,35.0,121.0,36.0,33.0
500.0,23.0,122.0,124.0,47.0
500.0,14.0,120.0,61.0,41.0
500.0,25.0,124.0,37.0,27.0
500.0,18.0,147.0,18.0,23.0
500.0,23.0,130.0,42.0,49.0
500.0,23.0,174.0,34.0,39.0
500.0,20.0,142.0,18.0,19.0
97.0,35.0,150.0,49.0,36.0
500.0,18.0,128.0,12.0,48.0
500.0,21.0,156.0,58.0,38.0
500.0,12.0,164.0,22.0,63.0
280.0,38.0,186.0,48.0,27.0
500.0,13.0,247.0,19.0,80.0
500.0,22.0,284.0,80.0,31.0
371.0,11.0,500.0,24.0,88.0
500.0,12.0,177.0,22.0,26.0
500.0,13.0,287.0,38.0,58.0
419.0,28.0,500.0,39.0,23.0
500.0,21.0,500.0,32.0,52.0
500.0,20.0,500.0,40.0,35.0
335.0,49.0,500.0,37.0,30.0
500.0,32.0,350.0,28.0,48.0
500.0,17.0,500.0,52.0,35.0
500.0,39.0,500.0,37.0,37.0
500.0,29.0,500.0,30.0,73.0
500.0,11.0,500.0,24.0,50.0
155.0,9.0,500.0,30.0,64.0
500.0,31.0,120.0,23.0,29.0
484.0,11.0,30.0,82.0,58.0
500.0,19.0,92.0,28.0,40.0
242.0,31.0,28.0,21.0,30.0
500.0,14.0,131.0,16.0,62.0
500.0,64.0,217.0,72.0,31.0
500.0,17.0,500.0,69.0,147.0
500.0,11.0,76.0,59.0,24.0
500.0,68.0,179.0,96.0,14.0
500.0,16.0,173.0,69.0,33.0
314.0,31.0,300.0,41.0,19.0
500.0,21.0,106.0,18.0,25.0
500.0,47.0,266.0,56.0,76.0
500.0,30.0,42.0,10.0,46.0
500.0,17.0,500.0,33.0,57.0
500.0,15.0,500.0,31.0,85.0
500.0,25.0,500.0,24.0,11.0
500.0,15.0,500.0,27.0,44.0
500.0,24.0,500.0,39.0,32.0
500.0,16.0,500.0,20.0,62.0
500.0,20.0,500.0,44.0,18.0
500.0,9.0,500.0,24.0,41.0
500.0,24.0,500.0,21.0,45.0
500.0,20.0,500.0,107.0,33.0
500.0,19.0,500.0,60.0,89.0
500.0,18.0,500.0,28.0,77.0
500.0,16.0,500.0,22.0,31.0
500.0,10.0,500.0,49.0,32.0
500.0,11.0,500.0,24.0,30.0
500.0,13.0,500.0,33.0,62.0
500.0,30.0,120.0,33.0,31.0
500.0,19.0,138.0,88.0,28.0
500.0,12.0,119.0,23.0,34.0
500.0,14.0,130.0,22.0,25.0
500.0,18.0,34.0,40.0,44.0
500.0,15.0,136.0,10.0,26.0
414.0,66.0,151.0,121.0,29.0
500.0,26.0,127.0,16.0,15.0
500.0,14.0,126.0,32.0,58.0
500.0,33.0,133.0,18.0,91.0
500.0,10.0,99.0,51.0,44.0
500.0,29.0,45.0,71.0,47.0
500.0,18.0,107.0,103.0,20.0
